"filename", "language", "YAML", "Dart", "Markdown", "Swift", "C++", "JSON", "Groovy", "Properties", "XML", "comment", "blank", "total"
"d:\Proyecto\citasnuevo\FuncionesNubeFirebase\database.rules.json", "JSON", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\Proyecto\citasnuevo\FuncionesNubeFirebase\firestore.indexes.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Proyecto\citasnuevo\FuncionesNubeFirebase\package-lock.json", "JSON", 0, 0, 0, 0, 0, 468, 0, 0, 0, 0, 1, 469
"d:\Proyecto\citasnuevo\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\Proyecto\citasnuevo\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 53, 0, 0, 3, 12, 68
"d:\Proyecto\citasnuevo\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 40
"d:\Proyecto\citasnuevo\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 4, 11
"d:\Proyecto\citasnuevo\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 39, 16, 4, 59
"d:\Proyecto\citasnuevo\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 2, 13
"d:\Proyecto\citasnuevo\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 1, 19
"d:\Proyecto\citasnuevo\android\app\src\main\res\xml\network_security_config.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 8
"d:\Proyecto\citasnuevo\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 3, 10
"d:\Proyecto\citasnuevo\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 4, 33
"d:\Proyecto\citasnuevo\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"d:\Proyecto\citasnuevo\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 1, 7
"d:\Proyecto\citasnuevo\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"d:\Proyecto\citasnuevo\android\settings_aar.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"d:\Proyecto\citasnuevo\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\Proyecto\citasnuevo\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 1, 123
"d:\Proyecto\citasnuevo\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"d:\Proyecto\citasnuevo\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Proyecto\citasnuevo\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 1, 1, 38
