"filename", "language", "YAML", "Dart", "Markdown", "Ini", "Properties", "Groovy", "JSON", "XML", "Swift", "C++", "comment", "blank", "total"
"d:\Proyecto\citasnuevo\FuncionesNubeFirebase\database.rules.json", "JSON", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\Proyecto\citasnuevo\FuncionesNubeFirebase\firestore.indexes.json", "JSON", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Proyecto\citasnuevo\FuncionesNubeFirebase\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 4627, 0, 0, 0, 0, 1, 4628
"d:\Proyecto\citasnuevo\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\Proyecto\citasnuevo\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 11, 17, 96
"d:\Proyecto\citasnuevo\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 77
"d:\Proyecto\citasnuevo\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 4, 11
"d:\Proyecto\citasnuevo\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 16, 7, 53
"d:\Proyecto\citasnuevo\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"d:\Proyecto\citasnuevo\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 3, 13
"d:\Proyecto\citasnuevo\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"d:\Proyecto\citasnuevo\android\app\src\main\res\xml\network_security_config.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
"d:\Proyecto\citasnuevo\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 3, 10
"d:\Proyecto\citasnuevo\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 4, 33
"d:\Proyecto\citasnuevo\android\desktop.ini", "Ini", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Proyecto\citasnuevo\android\gradle.properties", "Properties", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Proyecto\citasnuevo\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 1, 7
"d:\Proyecto\citasnuevo\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"d:\Proyecto\citasnuevo\android\settings_aar.gradle", "Groovy", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"d:\Proyecto\citasnuevo\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"d:\Proyecto\citasnuevo\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 1, 123
"d:\Proyecto\citasnuevo\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"d:\Proyecto\citasnuevo\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Proyecto\citasnuevo\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
