"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"d:\Proyecto\citasnuevo\lib\core\dependencies\dependencyCreator.dart", "Dart", 0, -13, 0, 3, -10
"d:\Proyecto\citasnuevo\lib\core\dependencies\error\Exceptions.dart", "Dart", 0, 8, 0, 1, 9
"d:\Proyecto\citasnuevo\lib\core\dependencies\error\Failure.dart", "Dart", 0, 17, 2, 9, 28
"d:\Proyecto\citasnuevo\lib\data\daraSources\HomeDataSource\homeScreenDataSources.dart", "Dart", 0, -1, 0, -3, -4
"d:\Proyecto\citasnuevo\lib\data\daraSources\principalDataSource\principalDataSource.dart", "Dart", 0, 1, 4, 1, 6
"d:\Proyecto\citasnuevo\lib\data\daraSources\reactionDataSources\reactionDataSource.dart", "Dart", 0, 128, 2, 15, 145
"d:\Proyecto\citasnuevo\lib\data\daraSources\rewardsDataSource\rewardDataSource.dart", "Dart", 0, 58, 8, 17, 83
"d:\Proyecto\citasnuevo\lib\data\repositoryImpl\authRepoImpl\authRepoImpl.dart", "Dart", 0, -2, -1, 0, -3
"d:\Proyecto\citasnuevo\lib\data\repositoryImpl\homeScreenRepoImpl.dart\homeScreenRepoImpl.dart", "Dart", 0, 36, 0, 5, 41
"d:\Proyecto\citasnuevo\lib\data\repositoryImpl\reactionRepoImpl\reactionRepoImpl.dart", "Dart", 0, 36, 0, 6, 42
"d:\Proyecto\citasnuevo\lib\domain\controller\authScreenController.dart", "Dart", 0, 17, 0, 5, 22
"d:\Proyecto\citasnuevo\lib\domain\controller\homeScreenController.dart", "Dart", 0, 4, 0, 2, 6
"d:\Proyecto\citasnuevo\lib\domain\controller\reactionsController.dart", "Dart", 0, 66, 1, 15, 82
"d:\Proyecto\citasnuevo\lib\domain\entities\AuthScreenEntity.dart", "Dart", 0, -1, 0, 0, -1
"d:\Proyecto\citasnuevo\lib\domain\entities\ReactionEntity.dart", "Dart", 0, 64, 1, 10, 75
"d:\Proyecto\citasnuevo\lib\domain\entities\RewardsEntity.dart", "Dart", 0, 15, 7, 12, 34
"d:\Proyecto\citasnuevo\lib\domain\repository\reactionRepository\reactionRepository.dart", "Dart", 0, 12, 0, 3, 15
"d:\Proyecto\citasnuevo\lib\domain\usecases\HomeScreenUseCases\homeScreenUseCases.dart", "Dart", 0, -40, -2, -7, -49
"d:\Proyecto\citasnuevo\lib\domain\usecases\authUseCases\authUseCases.dart", "Dart", 0, -22, 0, -1, -23
"d:\Proyecto\citasnuevo\lib\main.dart", "Dart", 0, -26, 1, 3, -22
"d:\Proyecto\citasnuevo\lib\presentation\auth.dart", "Dart", 0, -75, -7, -14, -96
"d:\Proyecto\citasnuevo\lib\presentation\authScreen.dart", "Dart", 0, -11, 0, -2, -13
"d:\Proyecto\citasnuevo\lib\presentation\authScreenPresentation\Screens\authScreen.dart", "Dart", 0, 62, 1, 7, 70
"d:\Proyecto\citasnuevo\lib\presentation\authScreenPresentation\auth.dart", "Dart", 0, 59, 7, 15, 81
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Screens\HomeScreen.dart", "Dart", 0, 13, 0, 0, 13
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Screens\ReportScreen.dart", "Dart", 0, 9, 1, 2, 12
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Widgets\NavigationBar.dart", "Dart", 0, 63, 1, 8, 72
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Widgets\profileWidget.dart", "Dart", 0, 6, 1, 2, 9
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\homeScrenPresentation.dart", "Dart", 0, -3, 0, 4, 1
"d:\Proyecto\citasnuevo\lib\presentation\reactionPresentation\Screens\ReactionScreen.dart", "Dart", 0, 150, 0, 12, 162
"d:\Proyecto\citasnuevo\lib\presentation\reactionPresentation\reactionPresentation.dart", "Dart", 0, 96, 1, 18, 115
"d:\Proyecto\citasnuevo\pubspec.yaml", "YAML", 0, 0, 0, 1, 1
"Total", "-", 0, 726, 28, 149, 903
