"filename", "language", "Dart", "YAML", "JSON", "C++", "Markdown", "Swift", "XML", "Ini", "Properties", "Groovy", "comment", "blank", "total"
"d:\Proyecto\citasnuevo\FuncionesNubeFirebase\database.rules.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\Proyecto\citasnuevo\FuncionesNubeFirebase\firestore.indexes.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Proyecto\citasnuevo\FuncionesNubeFirebase\package-lock.json", "JSON", 0, 0, 4627, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4628
"d:\Proyecto\citasnuevo\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 17
"d:\Proyecto\citasnuevo\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"d:\Proyecto\citasnuevo\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5, 3, 13
"d:\Proyecto\citasnuevo\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"d:\Proyecto\citasnuevo\android\app\src\main\res\xml\network_security_config.xml", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"d:\Proyecto\citasnuevo\android\desktop.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Proyecto\citasnuevo\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"d:\Proyecto\citasnuevo\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 4, 16
"d:\Proyecto\citasnuevo\android\settings_aar.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\Proyecto\citasnuevo\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"d:\Proyecto\citasnuevo\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\Proyecto\citasnuevo\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\Proyecto\citasnuevo\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Proyecto\citasnuevo\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"d:\Proyecto\citasnuevo\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"d:\Proyecto\citasnuevo\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Proyecto\citasnuevo\lib\core\common\common_widgets.dart\errorWidget.dart", "Dart", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"d:\Proyecto\citasnuevo\lib\core\common\profileCharacteristics.dart", "Dart", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 84
"d:\Proyecto\citasnuevo\lib\core\dependencies\dependencyCreator.dart", "Dart", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 72
"d:\Proyecto\citasnuevo\lib\core\dependencies\error\Exceptions.dart", "Dart", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 51
"d:\Proyecto\citasnuevo\lib\core\dependencies\error\Failure.dart", "Dart", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 12, 76
"d:\Proyecto\citasnuevo\lib\core\firebase_services\firebase_app.dart", "Dart", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\Proyecto\citasnuevo\lib\core\firebase_services\firebase_auth.dart", "Dart", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 7, 97
"d:\Proyecto\citasnuevo\lib\core\globalData.dart", "Dart", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\Proyecto\citasnuevo\lib\core\params_types\params_and_types.dart", "Dart", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 40
"d:\Proyecto\citasnuevo\lib\core\platform\networkInfo.dart", "Dart", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 60
"d:\Proyecto\citasnuevo\lib\core\usecases\usecases.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\Proyecto\citasnuevo\lib\data\daraSources\HomeDataSource\homeScreenDataSources.dart", "Dart", 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 15, 194
"d:\Proyecto\citasnuevo\lib\data\daraSources\authDataSources\authDataSourceImpl.dart", "Dart", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 80
