"filename", "language", "YAML", "Dart", "Groovy", "XML", "comment", "blank", "total"
"d:\Proyecto\citasnuevo\android\app\src\main\res\xml\network_security_config.xml", "XML", 0, 0, 0, 4, 0, 1, 5
"d:\Proyecto\citasnuevo\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 1, 1
"d:\Proyecto\citasnuevo\lib\core\ads_services\Ads.dart", "Dart", 0, 70, 0, 0, 0, 14, 84
"d:\Proyecto\citasnuevo\lib\core\common\commonUtils\idGenerator.dart", "Dart", 0, 63, 0, 0, 0, 4, 67
"d:\Proyecto\citasnuevo\lib\core\common\common_widgets.dart\errorWidget.dart", "Dart", 0, 15, 0, 0, 0, -1, 14
"d:\Proyecto\citasnuevo\lib\core\dependencies\dependencyCreator.dart", "Dart", 0, 33, 0, 0, 0, 3, 36
"d:\Proyecto\citasnuevo\lib\core\dependencies\error\Exceptions.dart", "Dart", 0, 10, 0, 0, 0, 0, 10
"d:\Proyecto\citasnuevo\lib\core\dependencies\error\Failure.dart", "Dart", 0, 4, 0, 0, -13, 0, -9
"d:\Proyecto\citasnuevo\lib\core\firebase_services\firebase_auth.dart", "Dart", 0, -2, 0, 0, 0, 0, -2
"d:\Proyecto\citasnuevo\lib\data\Mappers\ChatConverter.dart", "Dart", 0, 53, 0, 0, 0, 12, 65
"d:\Proyecto\citasnuevo\lib\data\Mappers\ConverterDefinition.dart", "Dart", 0, 0, 0, 0, 0, 1, 1
"d:\Proyecto\citasnuevo\lib\data\Mappers\MessajeConverter.dart", "Dart", 0, 31, 0, 0, 0, 4, 35
"d:\Proyecto\citasnuevo\lib\data\Mappers\ProfilesMapper.dart", "Dart", 0, 69, 0, 0, 0, 10, 79
"d:\Proyecto\citasnuevo\lib\data\Mappers\ReactionsMappers.dart", "Dart", 0, 36, 0, 0, 0, 5, 41
"d:\Proyecto\citasnuevo\lib\data\daraSources\HomeDataSource\homeScreenDataSources.dart", "Dart", 0, -2, 0, 0, 0, 1, -1
"d:\Proyecto\citasnuevo\lib\data\daraSources\chatDataSource\chatDataSource.dart", "Dart", 0, 243, 0, 0, 2, 37, 282
"d:\Proyecto\citasnuevo\lib\data\daraSources\principalDataSource\principalDataSource.dart", "Dart", 0, 2, 0, 0, 0, 1, 3
"d:\Proyecto\citasnuevo\lib\data\daraSources\reactionDataSources\reactionDataSource.dart", "Dart", 0, 59, 0, 0, 0, 10, 69
"d:\Proyecto\citasnuevo\lib\data\daraSources\reportDataSource\reportDataSource.dart", "Dart", 0, 59, 0, 0, 2, 9, 70
"d:\Proyecto\citasnuevo\lib\data\daraSources\rewardsDataSource\rewardDataSource.dart", "Dart", 0, 2, 0, 0, 0, 1, 3
"d:\Proyecto\citasnuevo\lib\data\repositoryImpl\chatRepoImpl\chatRepoImpl.dart", "Dart", 0, 80, 0, 0, 0, 14, 94
"d:\Proyecto\citasnuevo\lib\data\repositoryImpl\homeScreenRepoImpl.dart\homeScreenRepoImpl.dart", "Dart", 0, -119, 0, 0, 0, -4, -123
"d:\Proyecto\citasnuevo\lib\data\repositoryImpl\reactionRepoImpl\reactionRepoImpl.dart", "Dart", 0, 49, 0, 0, 0, 3, 52
"d:\Proyecto\citasnuevo\lib\data\repositoryImpl\reportRepoImpl\reportRepoImpl.dart", "Dart", 0, 42, 0, 0, 1, 6, 49
"d:\Proyecto\citasnuevo\lib\domain\controller\chatController.dart", "Dart", 0, 142, 0, 0, 0, 22, 164
"d:\Proyecto\citasnuevo\lib\domain\controller\homeScreenController.dart", "Dart", 0, -9, 0, 0, 0, 0, -9
"d:\Proyecto\citasnuevo\lib\domain\controller\reactionsController.dart", "Dart", 0, 56, 0, 0, -1, 12, 67
"d:\Proyecto\citasnuevo\lib\domain\controller\reportController.dart", "Dart", 0, 18, 0, 0, 0, 5, 23
"d:\Proyecto\citasnuevo\lib\domain\entities\ChatEntity.dart", "Dart", 0, 38, 0, 0, 1, 5, 44
"d:\Proyecto\citasnuevo\lib\domain\entities\MessageEntity.dart", "Dart", 0, 21, 0, 0, 0, 4, 25
"d:\Proyecto\citasnuevo\lib\domain\entities\ReactionEntity.dart", "Dart", 0, 51, 0, 0, 0, 26, 77
"d:\Proyecto\citasnuevo\lib\domain\repository\chatRepo\chatRepo.dart", "Dart", 0, 17, 0, 0, 0, 4, 21
"d:\Proyecto\citasnuevo\lib\domain\repository\homeScreenRepo\homeScreenRepo.dart", "Dart", 0, -2, 0, 0, 0, 0, -2
"d:\Proyecto\citasnuevo\lib\domain\repository\reactionRepository\reactionRepository.dart", "Dart", 0, 2, 0, 0, 8, 7, 17
"d:\Proyecto\citasnuevo\lib\domain\repository\reportRepo\reportRepo.dart", "Dart", 0, 15, 0, 0, 0, 4, 19
"d:\Proyecto\citasnuevo\lib\main.dart", "Dart", 0, 7, 0, 0, 0, 2, 9
"d:\Proyecto\citasnuevo\lib\presentation\authScreenPresentation\Screens\authScreen.dart", "Dart", 0, 0, 0, 0, -1, 0, -1
"d:\Proyecto\citasnuevo\lib\presentation\authScreenPresentation\auth.dart", "Dart", 0, 6, 0, 0, -1, 0, 5
"d:\Proyecto\citasnuevo\lib\presentation\chatPresentation\chatPresentation.dart", "Dart", 0, 114, 0, 0, 13, 27, 154
"d:\Proyecto\citasnuevo\lib\presentation\chatPresentation\chatScreen.dart", "Dart", 0, 537, 0, 0, 4, 40, 581
"d:\Proyecto\citasnuevo\lib\presentation\homeReportScreenPresentation\ReportScreen.dart", "Dart", 0, 130, 0, 0, 0, 7, 137
"d:\Proyecto\citasnuevo\lib\presentation\homeReportScreenPresentation\homeReportScreenPresentation.dart", "Dart", 0, 56, 0, 0, 4, 29, 89
