"filename", "language", "YAML", "Dart", "TypeScript", "comment", "blank", "total"
"d:\Proyecto\citasnuevo\FuncionesNubeFirebase\functions\src\darValoraciones\darValoraciones.ts", "TypeScript", 0, 0, 2, 0, 4, 6
"d:\Proyecto\citasnuevo\FuncionesNubeFirebase\functions\src\solicitarUsuarios\solicitarUsuarios.ts", "TypeScript", 0, 0, 191, 29, 164, 384
"d:\Proyecto\citasnuevo\FuncionesNubeFirebase\functions\src\test\index.test.ts", "TypeScript", 0, 0, 0, 9, 1, 10
"d:\Proyecto\citasnuevo\lib\core\ads_services\Ads.dart", "Dart", 0, 64, 0, 0, 5, 69
"d:\Proyecto\citasnuevo\lib\core\common\commonUtils\DateNTP.dart", "Dart", 0, 7, 0, 0, 3, 10
"d:\Proyecto\citasnuevo\lib\core\common\common_widgets.dart\errorWidget.dart", "Dart", 0, 16, 0, 0, 2, 18
"d:\Proyecto\citasnuevo\lib\core\common\profileCharacteristics.dart", "Dart", 0, 28, 0, 0, 8, 36
"d:\Proyecto\citasnuevo\lib\core\dependencies\dependencyCreator.dart", "Dart", 0, 147, 0, 35, 20, 202
"d:\Proyecto\citasnuevo\lib\core\dependencies\error\Exceptions.dart", "Dart", 0, 59, 0, 1, 8, 68
"d:\Proyecto\citasnuevo\lib\core\dependencies\error\Failure.dart", "Dart", 0, 24, 0, 0, 5, 29
"d:\Proyecto\citasnuevo\lib\core\firebase_services\firebase_auth.dart", "Dart", 0, 21, 0, 0, 10, 31
"d:\Proyecto\citasnuevo\lib\core\globalData.dart", "Dart", 0, 2, 0, 0, 1, 3
"d:\Proyecto\citasnuevo\lib\core\iapPurchases\iapPurchases.dart", "Dart", 0, 59, 0, 1, 7, 67
"d:\Proyecto\citasnuevo\lib\core\location_services\locatio_service.dart", "Dart", 0, 38, 0, 12, 14, 64
"d:\Proyecto\citasnuevo\lib\core\notifications\notifications_service.dart", "Dart", 0, 193, 0, 6, 35, 234
"d:\Proyecto\citasnuevo\lib\data\Mappers\ChatConverter.dart", "Dart", 0, 67, 0, 0, 9, 76
"d:\Proyecto\citasnuevo\lib\data\Mappers\MessajeConverter.dart", "Dart", 0, 1, 0, 0, 0, 1
"d:\Proyecto\citasnuevo\lib\data\Mappers\ProfilesMapper.dart", "Dart", 0, 9, 0, 0, 0, 9
"d:\Proyecto\citasnuevo\lib\data\Mappers\RewardMapper.dart", "Dart", 0, 14, 0, 0, 4, 18
"d:\Proyecto\citasnuevo\lib\data\Mappers\SettingsMapper.dart", "Dart", 0, 61, 0, 0, 8, 69
"d:\Proyecto\citasnuevo\lib\data\Mappers\UserCreatorMapper.dart", "Dart", 0, 165, 0, 0, 61, 226
"d:\Proyecto\citasnuevo\lib\data\Mappers\UserSettingsMapper.dart", "Dart", 0, 195, 0, 0, 28, 223
"d:\Proyecto\citasnuevo\lib\data\dataSources\HomeDataSource\homeScreenDataSources.dart", "Dart", 0, 60, 0, 2, 2, 64
