Date : 2022-08-20 10:49:39
Directory : d:\Proyecto\citasnuevo
Total : 114 files,  9818 codes, 369 comments, 1407 blanks, all 11594 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        110 |      9,608 |        331 |      1,236 |     11,175 |
| TypeScript |          3 |        193 |         38 |        169 |        400 |
| YAML       |          1 |         17 |          0 |          2 |         19 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                      |        114 |      9,818 |        369 |      1,407 |     11,594 |
| FuncionesNubeFirebase                                                                                  |          3 |        193 |         38 |        169 |        400 |
| FuncionesNubeFirebase\functions                                                                        |          3 |        193 |         38 |        169 |        400 |
| FuncionesNubeFirebase\functions\src                                                                    |          3 |        193 |         38 |        169 |        400 |
| FuncionesNubeFirebase\functions\src\darValoraciones                                                    |          1 |          2 |          0 |          4 |          6 |
| FuncionesNubeFirebase\functions\src\solicitarUsuarios                                                  |          1 |        191 |         29 |        164 |        384 |
| FuncionesNubeFirebase\functions\src\test                                                               |          1 |          0 |          9 |          1 |         10 |
| lib                                                                                                    |        110 |      9,608 |        331 |      1,236 |     11,175 |
| lib\core                                                                                               |         12 |        658 |         55 |        118 |        831 |
| lib\core\ads_services                                                                                  |          1 |         64 |          0 |          5 |         69 |
| lib\core\common                                                                                        |          3 |         51 |          0 |         13 |         64 |
| lib\core\common\commonUtils                                                                            |          1 |          7 |          0 |          3 |         10 |
| lib\core\common\common_widgets.dart                                                                    |          1 |         16 |          0 |          2 |         18 |
| lib\core\dependencies                                                                                  |          3 |        230 |         36 |         33 |        299 |
| lib\core\dependencies\error                                                                            |          2 |         83 |          1 |         13 |         97 |
| lib\core\firebase_services                                                                             |          1 |         21 |          0 |         10 |         31 |
| lib\core\iapPurchases                                                                                  |          1 |         59 |          1 |          7 |         67 |
| lib\core\location_services                                                                             |          1 |         38 |         12 |         14 |         64 |
| lib\core\notifications                                                                                 |          1 |        193 |          6 |         35 |        234 |
| lib\data                                                                                               |         27 |      1,564 |         11 |        286 |      1,861 |
| lib\data\Mappers                                                                                       |          7 |        512 |          0 |        110 |        622 |
| lib\data\dataSources                                                                                   |         11 |        755 |          7 |        118 |        880 |
| lib\data\dataSources\HomeDataSource                                                                    |          1 |         60 |          2 |          2 |         64 |
| lib\data\dataSources\appSettings                                                                       |          1 |        125 |          0 |         18 |        143 |
| lib\data\dataSources\authDataSources                                                                   |          1 |        -18 |          0 |          6 |        -12 |
| lib\data\dataSources\chatDataSource                                                                    |          1 |         15 |          0 |          5 |         20 |
| lib\data\dataSources\principalDataSource                                                               |          1 |         19 |          0 |          3 |         22 |
| lib\data\dataSources\reactionDataSources                                                               |          1 |          9 |          0 |         -2 |          7 |
| lib\data\dataSources\rewardsDataSource                                                                 |          1 |         72 |         -4 |          1 |         69 |
| lib\data\dataSources\sanctionsDataSource.dart                                                          |          1 |         76 |          1 |         17 |         94 |
| lib\data\dataSources\settingsDataSource                                                                |          1 |         44 |          0 |         -1 |         43 |
| lib\data\dataSources\userCreatorDataSource                                                             |          1 |        151 |          5 |         30 |        186 |
| lib\data\dataSources\userSettingsDataSource                                                            |          1 |        202 |          3 |         39 |        244 |
| lib\data\repositoryImpl                                                                                |          9 |        297 |          4 |         58 |        359 |
| lib\data\repositoryImpl\appSettingsRepoImpl                                                            |          1 |         67 |          2 |         12 |         81 |
| lib\data\repositoryImpl\authRepoImpl                                                                   |          1 |         -6 |          0 |          2 |         -4 |
| lib\data\repositoryImpl\homeScreenRepoImpl.dart                                                        |          1 |         34 |          1 |          2 |         37 |
| lib\data\repositoryImpl\reactionRepoImpl                                                               |          1 |        -13 |          0 |          1 |        -12 |
| lib\data\repositoryImpl\rewardRepoImpl                                                                 |          1 |         64 |          0 |         10 |         74 |
| lib\data\repositoryImpl\sanctionsRepoImpl                                                              |          1 |         41 |          1 |          9 |         51 |
| lib\data\repositoryImpl\settingsRepoImpl                                                               |          1 |          4 |          0 |          1 |          5 |
| lib\data\repositoryImpl\userCreatorRepoImpl                                                            |          1 |         49 |          0 |         11 |         60 |
